2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,1,SUNNY MAJOR,U Rispoli,D E Ferraris,133,1135,7,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,2,GREAT SON,C Wong,L Ho,126,1040,10,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,3,ROOKIE STAR,R Bayliss,P F Yiu,130,970,12,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,4,SHOW MISSION,H N Wong,C W Chang,130,1090,6,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,5,M REBORN,Z Purton,C H Yip,127,1181,9,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,6,TRAVEL SUCCESSOR,K C Leung,W Y So,126,1118,2,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,7,WINNING CIRCLE,K Teetan,J Moore,126,1122,8,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,8,LIGHTNING MISSILE,N Callan,K L Man,124,1150,1,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,9,PERFECT CHOICE,M Chadwick,R Gibson,123,1118,11,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,10,HAPPY SOUND,J Moreira,C Fownes,121,1127,5,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,11,OUR HONOUR,M F Poon,L Ho,118,1100,3,-,-,00:00.00,-
2019/04/24,HV,1,GOOD,DAEJEON HANDICAP,TURF - "C" Course,-,Class 5,1200M,-,12,SUNNY ORIENT,M L Yeung,T P Yung,113,1128,4,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,1,PLAY WISE,J Moreira,C H Yip,133,1063,8,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,2,WONDERFUL JOURNEY,C Wong,P F Yiu,132,1155,9,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,3,ALL BEST FRIENDS,K C Leung,K L Man,130,1061,7,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,4,DREAM WARRIORS,K Teetan,A S Cruz,126,1106,1,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,5,JUMBO PRIZE,C Y Ho,C Fownes,126,1122,3,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,6,NEW DYNAMIC,R Bayliss,P O'Sullivan,126,1198,5,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,7,BRILLIANT,H N Wong,K W Lui,124,1005,12,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,8,SUPER RED DRAGON,M Harley,W Y So,124,1111,4,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,9,TAKINGUFURTHER,M L Yeung,K H Ting,124,1076,6,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,10,FORTUNE BUDDY,T H So,T P Yung,123,1065,2,-,-,00:00.00,-
2019/04/24,HV,4,GOOD,INCHEON HANDICAP,TURF - "C" Course,-,Class 4,1200M,-,11,LE TERROIR,Z Purton,L Ho,121,1084,11,-,-,00:00.00,-
